City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,294.44,97,75,2.57,ZA,1710118662
1,port-aux-francais,-49.35,70.2167,280.9,94,100,16.45,TF,1710118662
2,nikolayevsk-on-amure,53.1406,140.73,266.58,81,68,2.02,RU,1710118662
3,marsh harbour,26.5412,-77.0636,296.27,80,100,7.53,BS,1710118662
4,albany,42.6001,-73.9662,274.45,72,97,3.58,US,1710118489
5,wailua homesteads,22.0669,-159.378,295.79,77,75,7.2,US,1710118663
6,tolanaro,-25.0319,46.9987,297.19,83,20,3.09,MG,1710118663
7,batala,31.8186,75.2028,287.03,48,3,1.27,IN,1710118663
8,leskovac,42.9981,21.9461,285.92,72,100,1.41,RS,1710118663
9,hawaiian paradise park,19.5933,-154.9731,296.88,80,100,3.6,US,1710118664
10,olonkinbyen,70.9221,-8.7187,273.1,93,40,2.55,SJ,1710118664
11,keflavik,64.0049,-22.5624,274.39,80,0,3.09,IS,1710118664
12,vila franca do campo,37.7167,-25.4333,289.38,86,95,6.22,PT,1710118664
13,invercargill,-46.4,168.35,287.6,69,74,7.15,NZ,1710118665
14,ushuaia,-54.8,-68.3,279.96,70,40,5.14,AR,1710118367
15,tazovsky,67.4667,78.7,248.12,98,100,2.02,RU,1710118665
16,bamboo flat,11.7,92.7167,296.2,88,0,1.03,IN,1710118665
17,shahin dezh,36.6793,46.5669,277.62,77,100,0.97,IR,1710118666
18,laguna,38.421,-121.4238,290.4,53,40,4.12,US,1710118666
19,yellowknife,62.456,-114.3525,263.94,96,100,7.72,CA,1710118666
20,yambio,4.5721,28.3955,296.28,76,90,2.2,SS,1710118666
21,puerto natales,-51.7236,-72.4875,277.84,88,58,4.4,CL,1710118667
22,vernon,50.2581,-119.2691,283.35,61,100,2.06,CA,1710118667
23,suva,-18.1416,178.4415,302.86,74,75,1.54,FJ,1710118653
24,piti village,13.4626,144.6933,302.21,71,0,9.26,GU,1710118667
25,punta arenas,-53.15,-70.9167,280.21,70,40,9.26,CL,1710118667
26,celestun,20.8667,-90.4,297.51,83,82,8.5,MX,1710118668
27,georgetown,5.4112,100.3354,301.11,74,20,4.12,MY,1710118351
28,freetown,8.484,-13.2299,300.99,78,100,7.2,SL,1710118668
29,kilinochchi,9.3961,80.3982,297.82,82,27,3.3,LK,1710118668
30,gadzhiyevo,69.2551,33.3362,272.79,95,100,8.89,RU,1710118669
